,time,pos,ref
0,1.0208244323730469,[7.00 3.00 3.14],[0.00 0.00]
1,1.2005059719085693,[7.00 3.00 3.14],[0.00 0.00]
2,1.4193189144134521,[7.00 3.00 3.18],[0.00 0.00]
3,1.6292881965637207,[7.00 3.00 3.20],[0.00 0.00]
4,1.8413934707641602,[7.00 3.00 3.23],[0.00 0.00]
5,2.0602059364318848,[7.00 3.00 3.25],[0.00 0.00]
6,2.2702574729919434,[7.00 3.00 3.28],[0.00 0.00]
7,2.4914321899414062,[7.00 3.00 3.30],[0.00 0.00]
8,2.70161509513855,[7.00 3.00 3.34],[0.00 0.00]
9,2.9091756343841553,[7.00 3.00 3.36],[0.00 0.00]
10,3.1178934574127197,[7.00 3.00 3.38],[0.00 0.00]
11,3.323249340057373,[6.99 3.00 3.41],[0.00 0.00]
12,3.543462038040161,[6.98 3.00 3.43],[0.00 0.00]
13,3.7541534900665283,[6.97 2.99 3.47],[0.00 0.00]
14,3.9628336429595947,[6.96 2.99 3.49],[0.00 0.00]
15,4.171873331069946,[6.94 2.98 3.52],[0.00 0.00]
16,4.379684209823608,[6.92 2.97 3.55],[0.00 0.00]
17,4.588258266448975,[6.90 2.96 3.58],[0.00 0.00]
18,4.809146165847778,[6.88 2.95 3.60],[0.00 0.00]
19,5.020157814025879,[6.85 2.94 3.63],[0.00 0.00]
20,5.228693008422852,[6.82 2.92 3.66],[0.00 0.00]
21,5.440809011459351,[6.79 2.91 3.69],[0.00 0.00]
22,5.649653434753418,[6.76 2.89 3.72],[0.00 0.00]
23,5.858426570892334,[6.72 2.87 3.74],[0.00 0.00]
24,6.078884601593018,[6.69 2.84 3.77],[0.00 0.00]
25,6.292804718017578,[6.65 2.81 3.78],[0.00 0.00]
26,6.505945682525635,[6.61 2.78 3.78],[0.00 0.00]
27,6.716206789016724,[6.57 2.75 3.79],[0.00 0.00]
28,6.927328586578369,[6.53 2.73 3.78],[0.00 0.00]
29,7.136422872543335,[6.49 2.70 3.78],[0.00 0.00]
30,7.357003450393677,[6.46 2.67 3.78],[0.00 0.00]
31,7.570620536804199,[6.42 2.64 3.78],[0.00 0.00]
32,7.780431270599365,[6.38 2.61 3.77],[0.00 0.00]
33,7.9899537563323975,[6.34 2.58 3.77],[0.00 0.00]
34,8.20128846168518,[6.30 2.55 3.77],[0.00 0.00]
35,8.41004467010498,[6.26 2.53 3.77],[0.00 0.00]
36,8.626638174057007,[6.23 2.50 3.77],[0.00 0.00]
37,8.836504936218262,[6.19 2.47 3.77],[0.00 0.00]
38,9.041826725006104,[6.15 2.44 3.81],[0.00 0.00]
39,9.250050783157349,[6.11 2.41 3.81],[0.00 0.00]
40,9.448585033416748,[6.08 2.39 3.92],[0.00 0.00]
41,9.651059865951538,[6.04 2.35 3.91],[0.00 0.00]
42,9.87163758277893,[6.01 2.33 3.90],[0.00 0.00]
43,10.085413694381714,[5.98 2.30 3.80],[0.00 0.00]
44,10.2955961227417,[5.95 2.27 3.85],[0.00 0.00]
45,10.52032732963562,[5.93 2.25 3.95],[0.00 0.00]
46,10.740516424179077,[5.91 2.23 4.04],[0.00 0.00]
47,10.965367317199707,[5.89 2.21 4.07],[0.00 0.00]
48,11.183505535125732,[5.87 2.19 4.17],[0.00 0.00]
