,time,pos,ref
0,1.0196335315704346,[7.00 3.00 3.14],[0.00 0.00]
1,1.1976032257080078,[7.00 3.00 3.14],[0.00 0.00]
2,1.4170024394989014,[7.00 3.00 3.17],[0.00 0.00]
3,1.626143455505371,[7.00 3.00 3.18],[0.00 0.00]
4,1.8352322578430176,[7.00 3.00 3.21],[0.00 0.00]
5,2.042757272720337,[7.00 3.00 3.23],[0.00 0.00]
6,2.2511813640594482,[7.00 3.00 3.26],[0.00 0.00]
7,2.471994400024414,[7.00 3.00 3.28],[0.00 0.00]
8,2.681978225708008,[7.00 3.00 3.31],[0.00 0.00]
9,2.8898842334747314,[7.00 3.00 3.34],[0.00 0.00]
10,3.095092535018921,[7.00 3.00 3.36],[0.00 0.00]
11,3.303441286087036,[6.99 3.00 3.38],[0.00 0.00]
12,3.5242114067077637,[6.98 3.00 3.41],[0.00 0.00]
13,3.7351701259613037,[6.97 2.99 3.44],[0.00 0.00]
14,3.944046974182129,[6.96 2.99 3.46],[0.00 0.00]
15,4.152434587478638,[6.94 2.98 3.49],[0.00 0.00]
16,4.36038875579834,[6.92 2.98 3.52],[0.00 0.00]
17,4.56733775138855,[6.90 2.97 3.54],[0.00 0.00]
18,4.781766891479492,[6.88 2.96 3.57],[0.00 0.00]
19,4.991646766662598,[6.85 2.95 3.60],[0.00 0.00]
20,5.200326681137085,[6.82 2.93 3.62],[0.00 0.00]
21,5.40265965461731,[6.79 2.92 3.65],[0.00 0.00]
22,5.613400459289551,[6.76 2.90 3.68],[0.00 0.00]
23,5.816619873046875,[6.72 2.88 3.70],[0.00 0.00]
24,6.016656875610352,[6.69 2.86 3.73],[0.00 0.00]
25,6.213223695755005,[6.66 2.84 3.75],[0.00 0.00]
26,6.4178807735443115,[6.63 2.82 3.78],[0.00 0.00]
27,6.623355388641357,[6.61 2.80 3.80],[0.00 0.00]
28,6.82518458366394,[6.59 2.78 3.83],[0.00 0.00]
29,7.028982639312744,[6.57 2.77 3.85],[0.00 0.00]
30,7.25970721244812,[6.55 2.75 3.88],[0.00 0.00]
31,7.475116729736328,[6.54 2.74 3.91],[0.00 0.00]
32,7.686831951141357,[6.52 2.73 3.94],[0.00 0.00]
33,7.89973783493042,[6.51 2.71 3.96],[0.00 0.00]
34,8.112678527832031,[6.50 2.70 3.99],[0.00 0.00]
35,8.337792873382568,[6.49 2.69 4.01],[0.00 0.00]
36,8.570387125015259,[6.48 2.68 4.02],[0.00 0.00]
37,8.79268503189087,[6.47 2.67 4.01],[0.00 0.00]
38,9.014428615570068,[6.46 2.66 3.97],[0.00 0.00]
39,9.235885858535767,[6.46 2.65 3.90],[0.00 0.00]
40,9.45964241027832,[6.45 2.64 3.81],[0.00 0.00]
41,9.692475318908691,[6.44 2.64 3.72],[0.00 0.00]
42,9.915095806121826,[6.44 2.64 3.61],[0.00 0.00]
43,10.136112451553345,[6.43 2.63 3.49],[0.00 0.00]
44,10.357933759689331,[6.43 2.63 3.36],[0.00 0.00]
45,10.578113079071045,[6.43 2.63 3.23],[0.00 0.00]
