,time,pos,ref
0,1.0241246223449707,[1 1 0],[0.00 0.00]
1,1.2438950538635254,[1.00 1.00 6.28],[6 1]
2,1.4388704299926758,[1.00 1.00 6.28],[6 1]
3,1.6282434463500977,[1.01 1.00 0.00],[6 1]
4,1.824026346206665,[1.02 1.00 0.00],[6 1]
5,2.0166244506835938,[1.02 1.00 0.00],[6 1]
6,2.2088675498962402,[1.04 1.00 0.00],[6 1]
7,2.4011034965515137,[1.05 1.00 0.01],[6 1]
8,2.6078920364379883,[1.07 1.00 0.01],[6 1]
9,2.8032422065734863,[1.09 1.00 0.00],[6 1]
10,2.994487762451172,[1.11 1.00 0.00],[6 1]
11,3.187584161758423,[1.14 1.00 0.01],[6 1]
12,3.3794498443603516,[1.16 1.00 0.00],[6 1]
13,3.572331666946411,[1.19 1.00 0.01],[6 1]
14,3.7762041091918945,[1.23 1.00 0.01],[6 1]
15,3.9741714000701904,[1.26 1.00 0.01],[6 1]
16,4.169678688049316,[1.30 1.00 0.01],[6 1]
17,4.362771034240723,[1.34 1.00 0.00],[6 1]
18,4.556428670883179,[1.38 1.00 0.01],[6 1]
19,4.752156496047974,[1.43 1.00 0.01],[6 1]
20,4.959817171096802,[1.47 1.00 0.01],[6 1]
21,5.157796382904053,[1.52 1.00 0.01],[6 1]
22,5.350308656692505,[1.56 1.00 0.00],[6 1]
23,5.547041177749634,[1.61 1.00 0.00],[6 1]
24,5.739716053009033,[1.65 1.00 0.00],[6 1]
25,5.931401252746582,[1.69 1.00 0.00],[6 1]
26,6.1356799602508545,[1.74 1.00 6.28],[6 1]
27,6.333292007446289,[1.78 1.00 6.28],[6 1]
28,6.52888822555542,[1.83 1.00 6.28],[6 1]
29,6.722580432891846,[1.87 1.00 6.28],[6 1]
30,6.91918420791626,[1.92 1.00 0.00],[6 1]
31,7.115060329437256,[1.96 1.00 6.28],[6 1]
32,7.323035717010498,[2.01 1.00 6.28],[6 1]
33,7.52114725112915,[2.05 1.00 6.28],[6 1]
34,7.717248439788818,[2.10 1.00 6.28],[6 1]
35,7.9105064868927,[2.14 1.00 6.28],[6 1]
36,8.10651159286499,[2.19 1.00 6.28],[6 1]
37,8.298738241195679,[2.23 1.00 6.28],[6 1]
38,8.506829023361206,[2.27 1.00 6.28],[6 1]
