,time,pos,ref
0,1.0241780281066895,[5 3 0],[0.00 0.00]
1,1.2613723278045654,[5.00 3.00 0.01],[6 1]
2,1.461756706237793,[5.00 3.00 6.27],[6 1]
3,1.6591241359710693,[5.00 3.00 6.23],[6 1]
4,1.8588578701019287,[5.00 3.00 6.18],[6 1]
5,2.054945707321167,[5.00 3.00 6.10],[6 1]
6,2.251190662384033,[5.00 3.00 6.02],[6 1]
7,2.4556963443756104,[5.00 3.00 5.93],[6 1]
8,2.653502941131592,[5.00 3.00 5.85],[6 1]
9,2.8525562286376953,[5.00 3.00 5.77],[6 1]
10,3.049285650253296,[5.00 3.00 5.68],[6 1]
11,3.2524049282073975,[5.00 3.00 5.62],[6 1]
12,3.4468672275543213,[5.00 3.00 5.58],[6 1]
13,3.651179790496826,[5.00 3.00 5.55],[6 1]
14,3.848799705505371,[5.00 3.00 5.52],[6 1]
15,4.04458212852478,[5.00 3.00 5.50],[6 1]
16,4.238534212112427,[5.00 3.00 5.47],[6 1]
17,4.434934854507446,[5.00 3.00 5.44],[6 1]
18,4.630692720413208,[5.00 3.00 5.42],[6 1]
19,4.838665962219238,[5.01 2.99 5.39],[6 1]
20,5.045885801315308,[5.01 2.99 5.36],[6 1]
21,5.246131181716919,[5.02 2.98 5.33],[6 1]
22,5.444696426391602,[5.02 2.97 5.31],[6 1]
23,5.644296169281006,[5.03 2.97 5.28],[6 1]
24,5.839707851409912,[5.03 2.96 5.25],[6 1]
25,6.035833835601807,[5.03 2.96 5.23],[6 1]
26,6.235364198684692,[5.03 2.96 5.21],[6 1]
27,6.443146705627441,[5.03 2.97 5.18],[6 1]
28,6.643874883651733,[5.02 2.98 5.15],[6 1]
29,6.844102144241333,[5.02 2.98 5.14],[6 1]
30,7.043895721435547,[5.01 2.99 5.13],[6 1]
31,7.240380525588989,[5.01 3.00 5.13],[6 1]
32,7.436638116836548,[5.01 3.01 5.13],[6 1]
33,7.632878541946411,[5.00 3.02 5.13],[6 1]
34,7.830606698989868,[5.00 3.03 5.13],[6 1]
35,8.028181552886963,[5.00 3.03 5.13],[6 1]
36,8.22550916671753,[4.99 3.04 5.12],[6 1]
37,8.424914598464966,[4.99 3.05 5.12],[6 1]
38,8.622750520706177,[4.98 3.06 5.12],[6 1]
39,8.822312593460083,[4.98 3.07 5.12],[6 1]
40,9.02289867401123,[4.98 3.08 5.12],[6 1]
41,9.220150232315063,[4.97 3.09 5.12],[6 1]
42,9.41665530204773,[4.97 3.10 5.12],[6 1]
