,time,pos,ref
0,1.020350694656372,[7.00 3.00 3.14],[0.00 0.00]
1,1.201977252960205,[7.00 3.00 3.14],[0.00 0.00]
2,1.4073398113250732,[7.00 3.00 3.17],[0.00 0.00]
3,1.600196123123169,[7.00 3.00 3.19],[0.00 0.00]
4,1.7963299751281738,[7.00 3.00 3.22],[0.00 0.00]
5,1.992436170578003,[7.00 3.00 3.24],[0.00 0.00]
6,2.1852757930755615,[7.00 3.00 3.26],[0.00 0.00]
7,2.390194892883301,[7.00 3.00 3.28],[0.00 0.00]
8,2.5864884853363037,[7.00 3.00 3.31],[0.00 0.00]
9,2.7789344787597656,[7.00 3.00 3.34],[0.00 0.00]
10,2.971669912338257,[7.00 3.00 3.36],[0.00 0.00]
11,3.1636555194854736,[6.99 3.00 3.38],[0.00 0.00]
12,3.352725028991699,[6.98 3.00 3.41],[0.00 0.00]
13,3.5605454444885254,[6.98 2.99 3.44],[0.00 0.00]
14,3.7582337856292725,[6.96 2.99 3.46],[0.00 0.00]
15,3.9544968605041504,[6.95 2.99 3.49],[0.00 0.00]
16,4.151534795761108,[6.93 2.98 3.52],[0.00 0.00]
17,4.347537517547607,[6.91 2.97 3.55],[0.00 0.00]
18,4.540607690811157,[6.89 2.96 3.57],[0.00 0.00]
19,4.748528003692627,[6.87 2.95 3.59],[0.00 0.00]
20,4.946096897125244,[6.84 2.94 3.62],[0.00 0.00]
21,5.142025709152222,[6.81 2.92 3.64],[0.00 0.00]
22,5.338965654373169,[6.78 2.91 3.67],[0.00 0.00]
23,5.5360472202301025,[6.75 2.89 3.70],[0.00 0.00]
24,5.73220157623291,[6.72 2.87 3.73],[0.00 0.00]
25,5.940427541732788,[6.69 2.85 3.75],[0.00 0.00]
26,6.137872934341431,[6.65 2.82 3.76],[0.00 0.00]
27,6.334043025970459,[6.61 2.80 3.77],[0.00 0.00]
28,6.530696630477905,[6.58 2.77 3.77],[0.00 0.00]
29,6.727124452590942,[6.54 2.74 3.77],[0.00 0.00]
30,6.924022674560547,[6.51 2.72 3.77],[0.00 0.00]
31,7.132495641708374,[6.47 2.69 3.77],[0.00 0.00]
32,7.329907655715942,[6.43 2.66 3.77],[0.00 0.00]
33,7.526288986206055,[6.40 2.64 3.77],[0.00 0.00]
34,7.722854852676392,[6.36 2.61 3.78],[0.00 0.00]
35,7.919002294540405,[6.32 2.59 3.78],[0.00 0.00]
36,8.116228103637695,[6.29 2.56 3.78],[0.00 0.00]
37,8.32032036781311,[6.25 2.53 3.78],[0.00 0.00]
38,8.5134756565094,[6.22 2.50 3.78],[0.00 0.00]
39,8.705808162689209,[6.18 2.48 3.77],[0.00 0.00]
40,8.898484468460083,[6.15 2.45 3.77],[0.00 0.00]
41,9.09106183052063,[6.11 2.43 3.77],[0.00 0.00]
42,9.28951907157898,[6.08 2.40 3.77],[0.00 0.00]
43,9.486047267913818,[6.04 2.38 3.77],[0.00 0.00]
44,9.688093185424805,[6.01 2.35 3.77],[0.00 0.00]
45,9.898510694503784,[5.97 2.32 3.77],[0.00 0.00]
46,10.106483936309814,[5.94 2.30 3.77],[0.00 0.00]
47,10.312301635742188,[5.91 2.28 3.78],[0.00 0.00]
48,10.520199060440063,[5.88 2.26 3.77],[0.00 0.00]
49,10.72888708114624,[5.86 2.24 3.77],[0.00 0.00]
50,10.94589114189148,[5.84 2.23 3.77],[0.00 0.00]
51,11.155147075653076,[5.81 2.21 3.77],[0.00 0.00]
52,11.363893270492554,[5.80 2.20 3.77],[0.00 0.00]
53,11.573100566864014,[5.78 2.19 3.77],[0.00 0.00]
54,11.781599998474121,[5.77 2.18 3.75],[0.00 0.00]
55,11.990479946136475,[5.75 2.17 3.73],[0.00 0.00]
56,12.21134090423584,[5.74 2.16 3.70],[0.00 0.00]
57,12.420758247375488,[5.73 2.15 3.65],[0.00 0.00]
58,12.629778146743774,[5.72 2.15 3.58],[0.00 0.00]
59,12.838718891143799,[5.71 2.14 3.50],[0.00 0.00]
60,13.047452926635742,[5.70 2.14 3.42],[0.00 0.00]
61,13.256076574325562,[5.70 2.14 3.33],[0.00 0.00]
62,13.477293014526367,[5.69 2.14 3.22],[0.00 0.00]
63,13.686299324035645,[5.69 2.14 3.09],[0.00 0.00]
64,13.895291805267334,[5.68 2.14 2.96],[0.00 0.00]
65,14.104153871536255,[5.68 2.14 2.82],[0.00 0.00]
66,14.312827587127686,[5.68 2.14 2.68],[0.00 0.00]
67,14.521463871002197,[5.68 2.14 2.54],[0.00 0.00]
68,14.742702007293701,[5.68 2.14 2.39],[0.00 0.00]
69,14.952020406723022,[5.68 2.14 2.27],[0.00 0.00]
70,15.161160230636597,[5.68 2.14 2.17],[0.00 0.00]
71,15.369863510131836,[5.68 2.14 2.08],[0.00 0.00]
72,15.578580141067505,[5.68 2.14 2.00],[0.00 0.00]
73,15.787189245223999,[5.68 2.14 1.91],[0.00 0.00]
74,16.00473141670227,[5.68 2.14 1.83],[0.00 0.00]
75,16.21357822418213,[5.68 2.14 1.76],[0.00 0.00]
76,16.422247171401978,[5.68 2.14 1.72],[0.00 0.00]
77,16.631152153015137,[5.68 2.14 1.69],[0.00 0.00]
78,16.839959383010864,[5.68 2.14 1.67],[0.00 0.00]
79,17.04886269569397,[5.68 2.14 1.64],[0.00 0.00]
80,17.269726276397705,[5.68 2.14 1.61],[0.00 0.00]
81,17.47933578491211,[5.68 2.15 1.59],[0.00 0.00]
82,17.68817448616028,[5.68 2.16 1.56],[0.00 0.00]
83,17.897085428237915,[5.68 2.17 1.53],[0.00 0.00]
84,18.10569739341736,[5.68 2.18 1.50],[0.00 0.00]
85,18.3144748210907,[5.68 2.20 1.47],[0.00 0.00]
86,18.535449266433716,[5.69 2.22 1.44],[0.00 0.00]
87,18.74496340751648,[5.69 2.25 1.41],[0.00 0.00]
88,18.953590393066406,[5.69 2.27 1.38],[0.00 0.00]
89,19.159635543823242,[5.70 2.30 1.35],[0.00 0.00]
90,19.367074489593506,[5.70 2.33 1.32],[0.00 0.00]
91,19.575897932052612,[5.71 2.37 1.30],[0.00 0.00]
92,19.79690718650818,[5.72 2.40 1.27],[0.00 0.00]
93,19.998207569122314,[5.74 2.44 1.26],[0.00 0.00]
94,20.19599461555481,[5.75 2.48 1.25],[0.00 0.00]
