,x,y
0,2.990104462865562,1.4143456717736105
1,4.55305275209898,1.2072781108355934
2,4.4932584182018775,1.4163898681483469
3,5.252838801859337,1.1476728443443858
4,5.101326012036623,0.8720869255831853
5,5.147637747598727,0.7273385049738418
6,5.898968116393334,2.0748000823058423
7,6.568574693238619,2.223554510167957
8,6.455345486806333,2.346391929681717
9,7.069763219174199,1.1300112041668324
10,6.680974573134899,2.3231010893132806
11,6.076313134951593,2.281574546423454
12,2.186239714269634,2.3018410482471374
13,1.8808151545395422,2.793810982998032
14,1.7582225139513712,2.9610969177573647
15,2.101251295689916,2.43095606981913
16,1.7870902569183407,2.290919034201968
17,2.0095352593083344,2.561932815346203
18,2.3519388305192215,2.1278367763248336
19,1.6415560475908748,2.7483083313181256
20,3.9580202932180484,3.555372116524657
21,3.8597088572039135,3.695656578998868
22,4.190799480267049,4.469339494808553
23,4.9559773383199826,5.218245841830603
24,5.114152169034712,5.116143797947161
25,4.4235437389631524,5.1721058283496415
26,4.747850845801708,5.234295944425634
27,5.24479196586879,5.041473005550325
28,5.359687235535225,4.916694138377176
