,time,pos,ref
0,1.0150721073150635,[1 1 0],[0.00 0.00]
1,1.230757236480713,[1.00 1.00 0.01],[6 1]
2,1.4233384132385254,[1.00 1.00 0.00],[6 1]
3,1.6400010585784912,[1.01 1.00 0.00],[6 1]
4,1.834043264389038,[1.02 1.00 0.00],[6 1]
5,2.024627447128296,[1.03 1.00 6.28],[6 1]
6,2.2171101570129395,[1.04 1.00 6.28],[6 1]
7,2.4052634239196777,[1.05 1.00 6.28],[6 1]
8,2.5979087352752686,[1.07 1.00 6.28],[6 1]
9,2.7862467765808105,[1.09 1.00 6.27],[6 1]
10,2.990151882171631,[1.11 1.00 6.28],[6 1]
11,3.1843581199645996,[1.14 1.00 6.28],[6 1]
12,3.3764567375183105,[1.16 1.00 6.28],[6 1]
13,3.5700204372406006,[1.19 1.00 6.28],[6 1]
14,3.766418695449829,[1.23 1.00 6.28],[6 1]
15,3.9625301361083984,[1.26 1.00 6.28],[6 1]
16,4.1662757396698,[1.30 1.00 0.00],[6 1]
17,4.363938808441162,[1.34 1.00 0.00],[6 1]
18,4.560343027114868,[1.38 1.00 0.00],[6 1]
19,4.758024454116821,[1.43 1.00 0.00],[6 1]
20,4.954038381576538,[1.47 1.00 0.00],[6 1]
21,5.146270036697388,[1.52 1.00 0.00],[6 1]
22,5.354037284851074,[1.56 1.00 6.28],[6 1]
23,5.5520853996276855,[1.61 1.00 6.28],[6 1]
24,5.747436285018921,[1.65 1.00 6.28],[6 1]
25,5.945902109146118,[1.70 1.00 6.27],[6 1]
26,6.14198637008667,[1.74 1.00 6.27],[6 1]
27,6.337134122848511,[1.79 1.00 6.27],[6 1]
28,6.544938325881958,[1.83 1.00 6.27],[6 1]
29,6.743530035018921,[1.88 1.00 6.27],[6 1]
30,6.936177015304565,[1.92 1.00 6.27],[6 1]
31,7.129557371139526,[1.97 1.00 6.27],[6 1]
32,7.325182199478149,[2.01 1.00 6.26],[6 1]
33,7.520971059799194,[2.05 0.99 6.26],[6 1]
34,7.728668689727783,[2.10 0.99 6.26],[6 1]
35,7.923422574996948,[2.15 0.99 6.26],[6 1]
36,8.119072914123535,[2.19 0.99 6.26],[6 1]
37,8.316115379333496,[2.23 0.99 6.26],[6 1]
38,8.512608766555786,[2.28 0.99 6.26],[6 1]
39,8.70866847038269,[2.32 0.99 6.26],[6 1]
40,8.912912607192993,[2.37 0.99 6.26],[6 1]
41,9.106993675231934,[2.41 0.99 6.26],[6 1]
42,9.299286603927612,[2.46 0.98 6.26],[6 1]
43,9.492435455322266,[2.50 0.98 6.25],[6 1]
44,9.688199758529663,[2.54 0.98 6.25],[6 1]
45,9.881434202194214,[2.59 0.98 6.25],[6 1]
46,10.088088274002075,[2.63 0.98 6.25],[6 1]
47,10.282374858856201,[2.68 0.98 6.25],[6 1]
48,10.474510908126831,[2.72 0.98 6.24],[6 1]
49,10.671249151229858,[2.77 0.97 6.24],[6 1]
50,10.868175745010376,[2.81 0.97 6.24],[6 1]
51,11.064123630523682,[2.86 0.97 6.24],[6 1]
52,11.271954536437988,[2.90 0.97 6.24],[6 1]
