,time,pos,ref
0,1.024491548538208,[1 1 0],[0.00 0.00]
1,1.2477877140045166,[1.00 1.00 0.02],[6 1]
2,1.443077564239502,[1.00 1.00 0.02],[6 1]
3,1.635216236114502,[1.01 1.00 0.03],[6 1]
4,1.8288111686706543,[1.02 1.00 0.03],[6 1]
5,2.020249366760254,[1.03 1.00 0.03],[6 1]
6,2.2126176357269287,[1.04 1.00 0.03],[6 1]
7,2.402189016342163,[1.05 1.00 0.03],[6 1]
8,2.6058690547943115,[1.07 1.00 0.03],[6 1]
9,2.8029260635375977,[1.09 1.00 0.03],[6 1]
10,2.9947850704193115,[1.11 1.00 0.03],[6 1]
11,3.1875457763671875,[1.14 1.00 0.03],[6 1]
12,3.3795831203460693,[1.16 1.00 0.03],[6 1]
13,3.567873239517212,[1.19 1.01 0.03],[6 1]
14,3.7709600925445557,[1.22 1.01 0.03],[6 1]
15,3.9714910984039307,[1.26 1.01 0.03],[6 1]
16,4.1679298877716064,[1.29 1.01 0.03],[6 1]
17,4.364732265472412,[1.32 1.01 0.03],[6 1]
18,4.5612874031066895,[1.35 1.01 0.03],[6 1]
19,4.757431507110596,[1.38 1.01 0.03],[6 1]
20,4.953179121017456,[1.40 1.01 0.03],[6 1]
21,5.148346424102783,[1.42 1.01 0.03],[6 1]
22,5.344507455825806,[1.44 1.01 0.03],[6 1]
23,5.541473388671875,[1.46 1.01 0.03],[6 1]
24,5.738444089889526,[1.47 1.01 0.03],[6 1]
25,5.934318542480469,[1.48 1.02 0.03],[6 1]
26,6.13056492805481,[1.49 1.02 0.03],[6 1]
27,6.326598167419434,[1.50 1.02 0.03],[6 1]
28,6.523017644882202,[1.50 1.02 0.03],[6 1]
29,6.7195680141448975,[1.50 1.02 0.03],[6 1]
30,6.917012453079224,[1.49 1.02 0.03],[6 1]
31,7.1135852336883545,[1.49 1.02 0.03],[6 1]
32,7.3101513385772705,[1.48 1.02 0.03],[6 1]
33,7.5065014362335205,[1.47 1.01 0.03],[6 1]
34,7.703648567199707,[1.46 1.01 0.03],[6 1]
35,7.900217056274414,[1.44 1.01 0.03],[6 1]
36,8.094476461410522,[1.42 1.01 0.03],[6 1]
37,8.290670156478882,[1.40 1.01 0.03],[6 1]
38,8.488157272338867,[1.38 1.01 0.03],[6 1]
39,8.685207843780518,[1.36 1.01 0.03],[6 1]
40,8.882445573806763,[1.33 1.01 0.02],[6 1]
41,9.077854633331299,[1.30 1.01 0.03],[6 1]
42,9.27439570426941,[1.26 1.01 0.03],[6 1]
43,9.471715927124023,[1.23 1.01 0.03],[6 1]
44,9.670491933822632,[1.19 1.01 0.03],[6 1]
45,9.879386901855469,[1.15 1.01 0.03],[6 1]
46,10.080659627914429,[1.10 1.00 0.04],[6 1]
47,10.272909879684448,[1.07 1.00 0.04],[6 1]
48,10.46538257598877,[1.03 1.00 0.04],[6 1]
49,10.65669322013855,[1.00 1.00 0.04],[6 1]
50,10.850382328033447,[0.98 1.00 0.04],[6 1]
51,11.050861358642578,[0.95 1.00 0.04],[6 1]
52,11.244464635848999,[0.93 1.00 0.04],[6 1]
53,11.435914754867554,[0.91 1.00 0.04],[6 1]
54,11.630547523498535,[0.89 1.00 0.04],[6 1]
55,11.826720476150513,[0.87 1.00 0.04],[6 1]
56,12.018297910690308,[0.86 1.00 0.03],[6 1]
57,12.222804069519043,[0.85 1.00 0.04],[6 1]
58,12.416794061660767,[0.84 0.99 0.03],[6 1]
59,12.608312368392944,[0.83 0.99 0.03],[6 1]
60,12.802638053894043,[0.83 0.99 0.03],[6 1]
61,12.994080066680908,[0.83 0.99 0.03],[6 1]
62,13.185903549194336,[0.83 0.99 0.03],[6 1]
63,13.386412858963013,[0.84 0.99 0.03],[6 1]
64,13.579766988754272,[0.85 1.00 0.03],[6 1]
65,13.768276691436768,[0.86 1.00 0.03],[6 1]
66,13.961765050888062,[0.87 1.00 0.03],[6 1]
67,14.152799606323242,[0.88 1.00 0.02],[6 1]
68,14.344635725021362,[0.90 1.00 0.02],[6 1]
69,14.545103549957275,[0.92 1.00 0.02],[6 1]
70,14.738584280014038,[0.94 1.00 0.02],[6 1]
71,14.929749965667725,[0.97 1.00 0.02],[6 1]
72,15.123737573623657,[1.00 1.00 0.01],[6 1]
73,15.315982818603516,[1.02 1.00 0.02],[6 1]
74,15.507684707641602,[1.06 1.00 0.01],[6 1]
75,15.711539268493652,[1.09 1.00 0.02],[6 1]
76,15.905797004699707,[1.13 1.00 0.02],[6 1]
77,16.097559213638306,[1.17 1.00 0.02],[6 1]
78,16.300776720046997,[1.21 1.00 0.02],[6 1]
79,16.501075983047485,[1.26 1.00 0.01],[6 1]
80,16.696874380111694,[1.30 1.00 0.01],[6 1]
81,16.889583110809326,[1.34 1.00 0.01],[6 1]
82,17.081963539123535,[1.38 1.00 0.01],[6 1]
83,17.275482654571533,[1.41 1.00 0.01],[6 1]
84,17.472623348236084,[1.44 1.00 0.01],[6 1]
85,17.669254541397095,[1.47 1.01 0.01],[6 1]
86,17.865462064743042,[1.50 1.01 0.01],[6 1]
87,18.061898708343506,[1.52 1.01 0.01],[6 1]
88,18.254876375198364,[1.55 1.01 0.01],[6 1]
89,18.45102334022522,[1.57 1.01 0.01],[6 1]
90,18.64723825454712,[1.58 1.01 0.01],[6 1]
91,18.84432339668274,[1.60 1.01 0.00],[6 1]
92,19.058705806732178,[1.61 1.01 0.00],[6 1]
93,19.27368140220642,[1.62 1.01 0.00],[1.31 0.05]
94,19.481643676757812,[1.63 1.01 6.27],[1.31 0.05]
95,19.68622612953186,[1.63 1.01 6.23],[1.31 0.05]
96,19.90042018890381,[1.64 1.01 6.16],[1.31 0.05]
97,20.094728469848633,[1.65 1.00 6.08],[1.31 0.05]
98,20.31136655807495,[1.66 1.00 5.98],[1.30 0.07]
99,20.521499633789062,[1.66 1.00 5.87],[1.30 0.07]
100,20.725833654403687,[1.67 1.00 5.75],[1.30 0.07]
101,20.935696601867676,[1.67 1.00 5.62],[1.30 0.07]
102,21.144659757614136,[1.67 1.00 5.48],[1.30 0.07]
103,21.352783918380737,[1.67 1.00 5.33],[1.30 0.07]
104,21.56894826889038,[1.67 1.00 5.23],[1.30 0.07]
105,21.774919033050537,[1.67 1.00 5.12],[1.30 0.07]
106,21.979812145233154,[1.67 1.00 5.03],[1.30 0.07]
107,22.184617519378662,[1.67 1.00 4.95],[1.30 0.07]
108,22.389529705047607,[1.67 1.00 4.86],[1.30 0.07]
109,22.59413743019104,[1.67 1.00 4.78],[1.30 0.07]
110,22.810293436050415,[1.67 1.00 4.71],[1.30 0.07]
111,23.016247749328613,[1.67 1.00 4.67],[1.30 0.07]
112,23.221628665924072,[1.67 1.00 4.64],[1.30 0.07]
113,23.425790071487427,[1.67 1.00 4.62],[1.30 0.07]
