,time,pos,ref
0,1.0206434726715088,[6.00 4.00 4.71],[0.00 0.00]
1,1.2035822868347168,[6.00 4.00 4.71],[0.00 0.00]
2,1.411900281906128,[6.00 4.00 4.73],[7 3]
3,1.6125071048736572,[6.00 4.00 4.76],[7 3]
4,1.8113553524017334,[6.00 4.00 4.77],[7 3]
5,2.0094969272613525,[6.00 4.00 4.78],[7 3]
6,2.2086431980133057,[6.00 4.00 4.80],[7 3]
7,2.4174253940582275,[6.00 4.00 4.81],[7 3]
8,2.6184163093566895,[6.00 4.00 4.83],[7 3]
9,2.81437611579895,[6.00 4.00 4.85],[7 3]
10,3.0068628787994385,[6.00 4.00 4.86],[7 3]
11,3.20375919342041,[6.00 4.00 4.87],[7 3]
12,3.4006996154785156,[6.00 4.00 4.88],[7 3]
13,3.608670473098755,[6.00 4.00 4.90],[7 3]
14,3.807288646697998,[6.00 4.00 4.91],[7 3]
15,4.006976366043091,[6.00 4.00 4.92],[7 3]
16,4.204519271850586,[6.00 4.00 4.93],[7 3]
17,4.3999152183532715,[6.00 4.00 4.94],[7 3]
18,4.596420049667358,[6.00 4.00 4.95],[7 3]
19,4.804648399353027,[6.00 4.00 4.97],[7 3]
20,5.002586603164673,[6.00 4.00 4.98],[7 3]
21,5.198333263397217,[6.00 4.00 4.99],[7 3]
22,5.391832590103149,[6.00 4.00 5.00],[7 3]
23,5.604954481124878,[6.00 4.00 5.01],[7 3]
24,5.800310850143433,[6.00 4.00 5.03],[7 3]
25,6.004761695861816,[6.00 4.00 5.04],[7 3]
26,6.202469825744629,[6.00 4.00 5.05],[7 3]
27,6.398229122161865,[6.00 4.00 5.07],[7 3]
28,6.592442035675049,[6.00 4.00 5.08],[7 3]
29,6.788520097732544,[6.00 4.00 5.09],[7 3]
30,6.980114698410034,[6.00 4.00 5.10],[7 3]
31,7.1882359981536865,[6.00 4.00 5.11],[7 3]
32,7.386478424072266,[6.00 4.00 5.13],[7 3]
33,7.582236051559448,[6.00 4.00 5.14],[7 3]
34,7.779996395111084,[6.00 4.00 5.15],[7 3]
35,7.977478981018066,[6.00 4.00 5.16],[7 3]
36,8.172083377838135,[6.00 4.00 5.17],[7 3]
37,8.380166292190552,[6.00 4.00 5.18],[7 3]
38,8.578237295150757,[6.00 4.00 5.19],[7 3]
39,8.773696899414062,[6.00 4.00 5.20],[7 3]
40,8.972029447555542,[6.00 4.00 5.21],[7 3]
41,9.168392896652222,[6.00 4.00 5.22],[7 3]
42,9.363985776901245,[6.00 3.99 5.23],[7 3]
43,9.572054624557495,[6.01 3.99 5.24],[7 3]
44,9.770192623138428,[6.01 3.98 5.25],[7 3]
45,9.966111183166504,[6.02 3.97 5.26],[7 3]
46,10.163783550262451,[6.03 3.95 5.27],[7 3]
47,10.362209796905518,[6.04 3.94 5.28],[7 3]
48,10.559971332550049,[6.05 3.92 5.29],[7 3]
49,10.768931865692139,[6.06 3.90 5.30],[7 3]
50,10.970325469970703,[6.08 3.88 5.31],[7 3]
51,11.166064977645874,[6.09 3.85 5.32],[7 3]
52,11.364990472793579,[6.11 3.83 5.33],[7 3]
53,11.564656019210815,[6.13 3.80 5.34],[7 3]
54,11.760478019714355,[6.15 3.77 5.35],[7 3]
55,11.96531867980957,[6.17 3.74 5.36],[7 3]
56,12.166080713272095,[6.20 3.70 5.37],[7 3]
57,12.372122049331665,[6.23 3.67 5.37],[7 3]
58,12.573609590530396,[6.25 3.63 5.37],[7 3]
59,12.773006439208984,[6.28 3.60 5.37],[7 3]
60,12.961153030395508,[6.31 3.57 5.37],[7 3]
61,13.181621313095093,[6.33 3.54 5.37],[5.33 3.75]
62,13.390887022018433,[6.35 3.51 5.37],[5.33 3.75]
63,13.595736980438232,[6.37 3.48 5.37],[5.33 3.75]
64,13.805775880813599,[6.39 3.46 5.37],[5.33 3.75]
65,14.013028621673584,[6.41 3.43 5.36],[5.33 3.75]
