,time,pos,ref
0,1.0196349620819092,[7.00 2.00 3.14],[0.00 0.00]
1,1.1978673934936523,[7.00 2.00 3.14],[0.00 0.00]
2,1.4143340587615967,[7.00 2.00 3.17],[0.00 0.00]
3,1.6227734088897705,[7.00 2.00 3.16],[0.00 0.00]
4,1.8283584117889404,[7.00 2.00 3.11],[0.00 0.00]
5,2.0331127643585205,[7.00 2.00 3.05],[0.00 0.00]
6,2.238206624984741,[7.00 2.00 2.96],[0.00 0.00]
7,2.459782361984253,[7.00 2.00 2.87],[0.00 0.00]
8,2.667825937271118,[7.00 2.00 2.79],[0.00 0.00]
9,2.8757059574127197,[7.00 2.00 2.72],[0.00 0.00]
10,3.0810179710388184,[7.00 2.00 2.68],[0.00 0.00]
11,3.2891101837158203,[7.00 2.00 2.66],[0.00 0.00]
12,3.506361722946167,[7.00 2.00 2.63],[0.00 0.00]
13,3.715853214263916,[7.00 2.00 2.60],[0.00 0.00]
14,3.921377658843994,[7.00 2.00 2.58],[0.00 0.00]
15,4.129446983337402,[6.99 2.00 2.55],[0.00 0.00]
16,4.334388732910156,[6.98 2.01 2.52],[0.00 0.00]
17,4.542659282684326,[6.98 2.02 2.49],[0.00 0.00]
18,4.759493350982666,[6.96 2.02 2.46],[0.00 0.00]
19,4.969227075576782,[6.95 2.04 2.43],[0.00 0.00]
20,5.17820930480957,[6.94 2.05 2.40],[0.00 0.00]
21,5.387694835662842,[6.92 2.06 2.37],[0.00 0.00]
22,5.596186876296997,[6.90 2.08 2.34],[0.00 0.00]
23,5.804795503616333,[6.88 2.10 2.31],[0.00 0.00]
24,6.009326934814453,[6.86 2.13 2.29],[0.00 0.00]
25,6.213870525360107,[6.84 2.15 2.26],[0.00 0.00]
26,6.419487476348877,[6.81 2.18 2.23],[0.00 0.00]
27,6.62824010848999,[6.79 2.21 2.20],[0.00 0.00]
28,6.837279319763184,[6.76 2.25 2.18],[0.00 0.00]
29,7.045974493026733,[6.74 2.28 2.16],[0.00 0.00]
30,7.251809120178223,[6.72 2.31 2.13],[0.00 0.00]
31,7.459601879119873,[6.70 2.35 2.11],[0.00 0.00]
32,7.668469190597534,[6.68 2.37 2.09],[0.00 0.00]
33,7.878038644790649,[6.66 2.40 2.08],[0.00 0.00]
34,8.08596158027649,[6.65 2.43 2.06],[0.00 0.00]
35,8.292046546936035,[6.64 2.45 2.04],[0.00 0.00]
36,8.498873233795166,[6.63 2.47 2.03],[0.00 0.00]
37,8.72387981414795,[6.62 2.48 2.01],[0.00 0.00]
38,8.934661865234375,[6.61 2.50 1.99],[0.00 0.00]
39,9.139499425888062,[6.61 2.51 1.97],[0.00 0.00]
40,9.344780921936035,[6.60 2.52 1.97],[0.00 0.00]
41,9.560880422592163,[6.60 2.53 1.98],[0.00 0.00]
42,9.773358821868896,[6.59 2.54 2.00],[0.00 0.00]
43,9.997826337814331,[6.59 2.55 2.04],[0.00 0.00]
44,10.208973169326782,[6.59 2.56 2.12],[0.00 0.00]
45,10.406829833984375,[6.58 2.57 2.20],[0.00 0.00]
46,10.606590032577515,[6.58 2.57 2.27],[0.00 0.00]
47,10.806789636611938,[6.58 2.58 2.35],[0.00 0.00]
48,10.995489835739136,[6.58 2.58 2.42],[0.00 0.00]
49,11.19469928741455,[6.58 2.57 2.51],[0.00 0.00]
50,11.387828826904297,[6.58 2.57 2.59],[0.00 0.00]
51,11.584883689880371,[6.59 2.57 2.66],[0.00 0.00]
52,11.7816801071167,[6.60 2.56 2.73],[0.00 0.00]
53,11.977033853530884,[6.61 2.56 2.79],[0.00 0.00]
54,12.174095392227173,[6.62 2.56 2.85],[0.00 0.00]
55,12.393532276153564,[6.63 2.55 2.91],[0.00 0.00]
56,12.602128028869629,[6.65 2.55 2.99],[0.00 0.00]
57,12.808987855911255,[6.67 2.54 3.06],[0.00 0.00]
58,13.014357328414917,[6.69 2.54 3.12],[0.00 0.00]
59,13.22274112701416,[6.70 2.54 3.18],[0.00 0.00]
60,13.430631637573242,[6.71 2.54 3.25],[0.00 0.00]
61,13.651458740234375,[6.72 2.54 3.33],[0.00 0.00]
62,13.861388206481934,[6.72 2.54 3.42],[0.00 0.00]
63,14.07432508468628,[6.73 2.55 3.53],[0.00 0.00]
64,14.287283420562744,[6.73 2.55 3.65],[0.00 0.00]
65,14.49974012374878,[6.73 2.55 3.75],[0.00 0.00]
66,14.710155248641968,[6.73 2.55 3.85],[0.00 0.00]
67,14.933401107788086,[6.73 2.55 3.93],[0.00 0.00]
68,15.147619485855103,[6.73 2.55 4.02],[0.00 0.00]
69,15.361167192459106,[6.73 2.55 4.11],[0.00 0.00]
70,15.574125528335571,[6.73 2.55 4.20],[0.00 0.00]
71,15.78660774230957,[6.73 2.55 4.26],[0.00 0.00]
72,15.99956750869751,[6.73 2.55 4.30],[0.00 0.00]
73,16.225011348724365,[6.73 2.55 4.32],[0.00 0.00]
74,16.442193269729614,[6.73 2.55 4.35],[0.00 0.00]
75,16.656572580337524,[6.73 2.55 4.38],[0.00 0.00]
76,16.873515129089355,[6.73 2.54 4.40],[0.00 0.00]
77,17.088425159454346,[6.73 2.54 4.42],[0.00 0.00]
78,17.301600694656372,[6.73 2.53 4.46],[0.00 0.00]
79,17.52634072303772,[6.72 2.52 4.48],[0.00 0.00]
