,time,pos,ref
0,1.0328903198242188,[1 1 0],[0.00 0.00]
1,1.238562822341919,[1.00 1.00 0.03],[6 1]
2,1.431443691253662,[1.00 1.00 0.03],[6 1]
3,1.6462712287902832,[1.01 1.00 0.03],[6 1]
4,1.854743480682373,[1.02 1.00 0.03],[2.02 0.75]
5,2.043344259262085,[1.03 1.00 0.03],[2.02 0.75]
6,2.231499671936035,[1.04 1.00 0.03],[2.02 0.75]
7,2.423032760620117,[1.05 1.00 0.03],[2.02 0.75]
8,2.6118390560150146,[1.07 1.00 0.03],[2.02 0.75]
9,2.8123726844787598,[1.09 1.00 0.03],[2.02 0.75]
10,3.000657320022583,[1.11 1.00 0.03],[2.02 0.75]
11,3.189335584640503,[1.14 1.00 0.03],[2.02 0.75]
12,3.381108045578003,[1.16 1.00 0.03],[2.02 0.75]
13,3.5738532543182373,[1.18 1.01 0.03],[2.02 0.75]
14,3.7625842094421387,[1.20 1.01 0.03],[2.02 0.75]
15,3.954761266708374,[1.22 1.01 0.03],[2.02 0.75]
16,4.148996353149414,[1.23 1.01 0.03],[2.02 0.75]
17,4.3450706005096436,[1.24 1.01 0.03],[2.02 0.75]
18,4.538174390792847,[1.25 1.01 0.03],[2.02 0.75]
19,4.733238220214844,[1.25 1.01 0.03],[2.02 0.75]
20,4.927465915679932,[1.26 1.01 0.03],[2.02 0.75]
21,5.123213291168213,[1.26 1.01 0.01],[2.02 0.75]
22,5.316144704818726,[1.26 1.01 6.28],[2.02 0.75]
23,5.509128570556641,[1.26 1.01 6.25],[2.02 0.75]
24,5.702097654342651,[1.26 1.01 6.23],[2.02 0.75]
25,5.897337436676025,[1.26 1.01 6.20],[2.02 0.75]
26,6.090534925460815,[1.27 1.01 6.17],[2.02 0.75]
27,6.286175489425659,[1.28 1.01 6.15],[2.02 0.75]
28,6.482702970504761,[1.29 1.00 6.12],[2.02 0.75]
29,6.676142930984497,[1.30 1.00 6.09],[2.02 0.75]
30,6.871594190597534,[1.31 1.00 6.07],[2.02 0.75]
31,7.065264463424683,[1.33 1.00 6.04],[2.02 0.75]
32,7.261199474334717,[1.35 0.99 6.01],[2.02 0.75]
33,7.454462766647339,[1.37 0.99 5.99],[2.02 0.75]
34,7.650403738021851,[1.39 0.98 5.96],[2.02 0.75]
35,7.846722364425659,[1.42 0.97 5.95],[2.02 0.75]
36,8.039766788482666,[1.44 0.96 5.95],[2.02 0.75]
37,8.236114263534546,[1.47 0.95 5.95],[2.02 0.75]
38,8.429969310760498,[1.49 0.94 5.95],[2.02 0.75]
39,8.625890970230103,[1.52 0.94 5.95],[2.02 0.75]
40,8.818197965621948,[1.54 0.93 5.94],[2.02 0.75]
41,9.010184526443481,[1.56 0.92 5.94],[2.02 0.75]
42,9.19971513748169,[1.58 0.91 5.94],[2.02 0.75]
43,9.391247510910034,[1.60 0.91 5.94],[2.02 0.75]
44,9.584591627120972,[1.62 0.90 5.94],[2.02 0.75]
45,9.780797004699707,[1.64 0.89 5.94],[2.02 0.75]
46,9.97439193725586,[1.66 0.89 5.94],[2.02 0.75]
47,10.16789436340332,[1.66 0.89 5.94],[2.02 0.75]
48,10.361805438995361,[1.66 0.89 5.94],[2.02 0.75]
49,10.555468797683716,[1.66 0.89 5.94],[2.02 0.75]
50,10.748197317123413,[1.66 0.89 5.94],[2.02 0.75]
51,10.940099000930786,[1.66 0.89 5.94],[2.02 0.75]
52,11.132905721664429,[1.66 0.89 5.94],[2.02 0.75]
53,11.32517385482788,[1.66 0.89 5.94],[2.02 0.75]
54,11.521266460418701,[1.66 0.88 5.94],[2.02 0.75]
55,11.71508264541626,[1.67 0.88 5.94],[2.02 0.75]
56,11.910928010940552,[1.68 0.88 5.94],[2.02 0.75]
57,12.104403018951416,[1.68 0.88 5.93],[2.02 0.75]
58,12.299663782119751,[1.69 0.87 5.93],[2.02 0.75]
59,12.492516994476318,[1.70 0.87 5.93],[2.02 0.75]
60,12.688577651977539,[1.71 0.87 5.93],[2.02 0.75]
61,12.882362365722656,[1.72 0.86 5.93],[2.02 0.75]
62,13.078238248825073,[1.74 0.86 5.93],[2.02 0.75]
63,13.274370193481445,[1.75 0.85 5.93],[2.02 0.75]
64,13.467271566390991,[1.76 0.85 5.93],[2.02 0.75]
65,13.663000106811523,[1.77 0.85 5.92],[2.02 0.75]
66,13.856699705123901,[1.78 0.84 5.92],[2.02 0.75]
67,14.052568912506104,[1.79 0.84 5.92],[2.02 0.75]
68,14.246449708938599,[1.80 0.84 5.92],[2.02 0.75]
69,14.441670417785645,[1.81 0.83 5.92],[2.02 0.75]
70,14.634867429733276,[1.82 0.83 5.92],[2.02 0.75]
71,14.830645561218262,[1.83 0.82 5.92],[2.02 0.75]
72,15.024141550064087,[1.84 0.82 5.92],[2.02 0.75]
73,15.21767282485962,[1.85 0.82 5.92],[2.02 0.75]
74,15.411177158355713,[1.85 0.82 5.92],[2.02 0.75]
75,15.604418992996216,[1.85 0.82 5.92],[2.02 0.75]
76,15.797095775604248,[1.85 0.82 5.92],[2.02 0.75]
77,15.990482330322266,[1.85 0.82 5.92],[2.02 0.75]
78,16.182994842529297,[1.85 0.82 5.92],[2.02 0.75]
79,16.375043869018555,[1.85 0.82 5.92],[2.02 0.75]
80,16.567707777023315,[1.85 0.82 5.92],[2.02 0.75]
81,16.759601831436157,[1.85 0.82 5.92],[2.02 0.75]
82,16.944276332855225,[1.85 0.82 5.92],[2.02 0.75]
83,17.133525848388672,[1.85 0.82 5.92],[2.02 0.75]
84,17.322343349456787,[1.85 0.82 5.92],[2.02 0.75]
85,17.515793561935425,[1.85 0.82 5.92],[2.02 0.75]
86,17.709107398986816,[1.85 0.82 5.92],[2.02 0.75]
87,17.90233016014099,[1.85 0.82 5.92],[2.02 0.75]
88,18.09193706512451,[1.85 0.82 5.92],[2.02 0.75]
89,18.2840359210968,[1.85 0.82 5.92],[2.02 0.75]
90,18.47331929206848,[1.85 0.82 5.92],[2.02 0.75]
91,18.666620016098022,[1.85 0.82 5.92],[2.02 0.75]
92,18.856946229934692,[1.85 0.82 5.92],[2.02 0.75]
93,19.049904584884644,[1.85 0.82 5.92],[2.02 0.75]
94,19.239178895950317,[1.85 0.82 5.92],[2.02 0.75]
95,19.43271040916443,[1.85 0.82 5.92],[2.02 0.75]
96,19.623107194900513,[1.85 0.82 5.92],[2.02 0.75]
97,19.84128475189209,[1.84 0.82 5.92],[2.02 0.75]
98,20.04266047477722,[1.85 0.82 5.91],[6 1]
99,20.2380633354187,[1.85 0.81 5.93],[6 1]
100,20.43173050880432,[1.85 0.81 5.94],[6 1]
101,20.627485275268555,[1.85 0.81 5.96],[6 1]
102,20.82242250442505,[1.85 0.81 5.99],[6 1]
103,21.02674102783203,[1.85 0.81 6.01],[6 1]
104,21.22071862220764,[1.85 0.81 6.03],[6 1]
105,21.412575006484985,[1.85 0.81 6.05],[6 1]
106,21.610034942626953,[1.85 0.81 6.08],[6 1]
107,21.805480003356934,[1.86 0.81 6.10],[6 1]
108,21.998384475708008,[1.87 0.81 6.12],[6 1]
109,22.206026554107666,[1.88 0.81 6.15],[6 1]
110,22.400251150131226,[1.89 0.81 6.18],[6 1]
111,22.59224247932434,[1.90 0.81 6.21],[6 1]
112,22.786875247955322,[1.92 0.80 6.23],[6 1]
113,22.981789112091064,[1.94 0.80 6.26],[6 1]
114,23.17738699913025,[1.97 0.80 6.28],[6 1]
115,23.381981134414673,[1.99 0.80 0.03],[6 1]
116,23.5796217918396,[2.02 0.80 0.05],[6 1]
117,23.77221703529358,[2.05 0.81 0.07],[6 1]
118,23.96483564376831,[2.08 0.81 0.10],[6 1]
119,24.16011142730713,[2.12 0.81 0.12],[6 1]
120,24.35269570350647,[2.16 0.82 0.15],[6 1]
121,24.55708384513855,[2.20 0.82 0.17],[6 1]
122,24.754668951034546,[2.24 0.83 0.19],[6 1]
123,24.947266817092896,[2.28 0.84 0.19],[6 1]
124,25.144192457199097,[2.33 0.85 0.18],[6 1]
125,25.33706521987915,[2.37 0.85 0.18],[6 1]
126,25.52879810333252,[2.41 0.86 0.18],[6 1]
127,25.732601404190063,[2.45 0.87 0.18],[6 1]
128,25.92678189277649,[2.50 0.88 0.18],[6 1]
129,26.11894679069519,[2.54 0.89 0.18],[6 1]
130,26.31189274787903,[2.59 0.89 0.18],[6 1]
131,26.50330090522766,[2.63 0.90 0.18],[6 1]
132,26.69550132751465,[2.67 0.91 0.18],[6 1]
133,26.899590969085693,[2.71 0.92 0.17],[6 1]
134,27.09352397918701,[2.76 0.92 0.17],[6 1]
135,27.289721250534058,[2.80 0.93 0.17],[6 1]
136,27.484069108963013,[2.85 0.94 0.17],[6 1]
137,27.679254293441772,[2.89 0.95 0.17],[6 1]
138,27.87140965461731,[2.93 0.95 0.17],[6 1]
139,28.075432062149048,[2.98 0.96 0.17],[6 1]
140,28.273633003234863,[3.02 0.97 0.17],[3.98 0.80]
141,28.465270280838013,[3.06 0.98 0.18],[3.98 0.80]
142,28.65890860557556,[3.10 0.98 0.17],[3.98 0.80]
143,28.850863218307495,[3.14 0.99 0.17],[3.98 0.80]
144,29.04286551475525,[3.17 1.00 0.17],[3.98 0.80]
145,29.235149383544922,[3.20 1.00 0.17],[3.98 0.80]
146,29.427407264709473,[3.23 1.01 0.17],[3.98 0.80]
147,29.620655298233032,[3.26 1.01 0.17],[3.98 0.80]
148,29.814107418060303,[3.28 1.02 0.17],[3.98 0.80]
149,30.009639978408813,[3.30 1.02 0.17],[3.98 0.80]
150,30.20309066772461,[3.32 1.02 0.17],[3.98 0.80]
151,30.39876651763916,[3.34 1.03 0.17],[3.98 0.80]
152,30.592211484909058,[3.35 1.03 0.17],[3.98 0.80]
153,30.783759117126465,[3.37 1.03 0.16],[3.98 0.80]
154,30.977190017700195,[3.37 1.03 0.16],[3.98 0.80]
155,31.173105239868164,[3.38 1.03 0.16],[3.98 0.80]
156,31.366454124450684,[3.39 1.03 0.16],[3.98 0.80]
157,31.561994314193726,[3.39 1.03 0.15],[3.98 0.80]
158,31.75595712661743,[3.39 1.03 0.14],[3.98 0.80]
159,31.951595544815063,[3.39 1.03 0.11],[3.98 0.80]
160,32.147984981536865,[3.39 1.03 0.09],[3.98 0.80]
161,32.336310148239136,[3.39 1.03 0.06],[3.98 0.80]
162,32.52888369560242,[3.39 1.03 0.03],[3.98 0.80]
163,32.720322370529175,[3.39 1.03 0.01],[3.98 0.80]
164,32.91074013710022,[3.39 1.03 6.26],[3.98 0.80]
165,33.102532625198364,[3.39 1.03 6.24],[3.98 0.80]
166,33.294477462768555,[3.39 1.03 6.22],[3.98 0.80]
167,33.48728013038635,[3.39 1.03 6.18],[3.98 0.80]
168,33.683220624923706,[3.39 1.03 6.16],[3.98 0.80]
169,33.8771915435791,[3.39 1.03 6.13],[3.98 0.80]
170,34.073039054870605,[3.40 1.03 6.10],[3.98 0.80]
171,34.26644492149353,[3.41 1.03 6.08],[3.98 0.80]
172,34.4573495388031,[3.42 1.03 6.05],[3.98 0.80]
173,34.647050619125366,[3.43 1.03 6.02],[3.98 0.80]
174,34.838664293289185,[3.44 1.02 5.99],[3.98 0.80]
175,35.02804136276245,[3.46 1.02 5.97],[3.98 0.80]
176,35.2125678062439,[3.47 1.01 5.94],[3.98 0.80]
177,35.40782713890076,[3.49 1.00 5.92],[3.98 0.80]
