,time,pos,ref
0,1.020726203918457,[7.00 3.00 3.14],[0.00 0.00]
1,1.2043449878692627,[7.00 3.00 3.14],[0.00 0.00]
2,1.422797441482544,[7.00 3.00 3.16],[0.00 0.00]
3,1.6356830596923828,[7.00 3.00 3.19],[0.00 0.00]
4,1.8445830345153809,[7.00 3.00 3.21],[0.00 0.00]
5,2.052788019180298,[7.00 3.00 3.24],[0.00 0.00]
6,2.2613306045532227,[7.00 3.00 3.26],[0.00 0.00]
7,2.4826266765594482,[7.00 3.00 3.29],[0.00 0.00]
8,2.692321300506592,[7.00 3.00 3.32],[0.00 0.00]
9,2.900242328643799,[7.00 3.00 3.34],[0.00 0.00]
10,3.110135793685913,[7.00 3.00 3.36],[0.00 0.00]
11,3.3183364868164062,[6.99 3.00 3.39],[0.00 0.00]
12,3.5272982120513916,[6.98 3.00 3.41],[0.00 0.00]
13,3.7484323978424072,[6.97 2.99 3.44],[0.00 0.00]
14,3.9582552909851074,[6.96 2.99 3.48],[0.00 0.00]
15,4.1675591468811035,[6.94 2.98 3.50],[0.00 0.00]
16,4.376926898956299,[6.92 2.98 3.53],[0.00 0.00]
17,4.585099935531616,[6.90 2.97 3.55],[0.00 0.00]
18,4.793018341064453,[6.88 2.96 3.58],[0.00 0.00]
19,5.013873338699341,[6.85 2.94 3.61],[0.00 0.00]
20,5.223346948623657,[6.82 2.93 3.64],[0.00 0.00]
21,5.433963298797607,[6.79 2.91 3.66],[0.00 0.00]
22,5.641643285751343,[6.76 2.89 3.69],[0.00 0.00]
23,5.8445820808410645,[6.72 2.87 3.72],[0.00 0.00]
24,6.044543266296387,[6.70 2.86 3.74],[0.00 0.00]
25,6.24483847618103,[6.67 2.84 3.77],[0.00 0.00]
26,6.445119619369507,[6.65 2.82 3.80],[0.00 0.00]
27,6.6442625522613525,[6.63 2.81 3.82],[0.00 0.00]
28,6.846905469894409,[6.62 2.80 3.84],[0.00 0.00]
29,7.048356294631958,[6.60 2.78 3.87],[0.00 0.00]
30,7.248964309692383,[6.59 2.77 3.89],[0.00 0.00]
31,7.45289421081543,[6.58 2.76 3.91],[0.00 0.00]
32,7.656631946563721,[6.57 2.76 3.94],[0.00 0.00]
33,7.857177972793579,[6.57 2.75 3.97],[0.00 0.00]
